#f9f1f0,#fadcd9,#f8afa6,#f79489
#e8b4b8,#eed6d3,#a49393,#67595e
#fbe7c6,#b4f8c8,#a0e7e5,#ffaebc
#e7d2cc,#b9b7bd,#868b8e,#eeede7
#05445e,#189ab4,#75e6da,#d4f1f4
#050a30,#000c66,#0000ff,#7ec8e3
#145da0,#0c2d48,#2e8bc0,#b1d4e0
#b68d40,#f4ebd0,#122620,#d6ad60
#2ff3e0,#f8d210,#fa26a0,#f51720
#b99095,#fcb5ac,#b5e5cf,#3d5b59
#3d550c,#81b622,#ecf87f,#59981a
#41729f,#5885af,#274472,#c3e0e5
#f6eee0,#e4b7a0,#a45c40,#c38370
#e7f2f8,#74bdcb,#ffa384,#efe7bc
#bcece0,#36eee0,#f652a0,#4c5270
#ffc2c7,#b6e5d8,#fbe5c8,#8fdde7
#e4d4c8,#d0b49f,#a47551,#523a28
#d48c70,#f4b9b8,#ebbbb0,#e98980
#bbe7fe,#d3b5e5,#ffd4db,#eff1db
#fff4bd,#f4b9b8,#85d2d0,#887bb0
#f8ea8c,#a4e8e0,#4cd7d0,#e1c340
#ede7dc,#dcd2cc,#ccafa5,#bdc3cb
#603f8b,#b4fee7,#a16ae8,#fd49a0
#ffc5d0,#f7d6d0,#fb6090,#821d30
#eeb5eb,#c26dbc,#c8f4f9,#3cacae
#ddffe7,#98d7c2,#167d7f,#29a0b1
#efebe0,#fb8da0,#fb6b90,#fb4570
#116530,#21b6a8,#a3ebb1,#18a558
#0a7029,#fede00,#c8df52,#dbe8d8
#4297a0,#f4eae6,#e57f84,#2f5061
#76b947,#b1d8b7,#2f5233,#94c973
#b7ac44,#df362d,#ff8300,#ff4500
#f8c0c8,#efe7d3,#d3bbdd,#ece3f0
#ebe0d0,#ec9ec0,#ff0080,#a91b60
#68bbe3,#0e86d4,#055c9d,#003060
#bca88e,#e3e8e9,#9da993,#e4b4b4
#e5ddc8,#01949a,#004369,#db1f48
#d3b1c2,#c197d2,#211522,#613659
#90adc6,#e9eaec,#fad02c,#333652
#f2c5e0,#d43790,#ec8fd0,#870a30
#04ecf0,#04d4f0,#6af2f0,#059dc0
#fabec0,#f85c70,#f37970,#e43d40
#175873,#2b7c85,#87aca3,#0c1446
#3b0404,#deb3ad,#de847b,#b95c50
#013a20,#478c5c,#bacc81,#cdd193
#dacac4,#f7c9b6,#dbc39a,#dae7dd
#bfd7ed,#60a3d9,#0074b7,#003b73
#fd7f20,#fc2e20,#fdb750,#010100
#5bb0ba,#c15b78,#ebf5f7,#f6c8cc
#e56997,#bd97cb,#fbc740,#66d2d6
#f2e6d6,#a0e0e4,#fcc0c5,#f582a8
#647c90,#e2ded0,#4e4f50,#746c70
#f9ccd3,#aa1945,#f1ced4,#391306
#e7625f,#c85250,#f7bec0,#e9eae0
#0c6170,#37beb0,#a4e5e0,#dbf5f0
#fbaa60,#fbc490,#f67b50,#a82810
#fbede0,#fdd1d2,#d4bbdd,#d0ab99
#ff5c4d,#ff9636,#ffcd58,#dad870
#b7c8c2,#eca4b1,#e9dac4,#cfb2b0
#fee7e6,#ecfdf1,#f9eac2,#ffd898
#05e0e9,#ff2768,#cfeed1,#4e1a3d
#e6c2bf,#f8efe4,#fad02c,#282120
#f9d030,#f62aa0,#b8ee30,#26dfd0
#32cd30,#2c5e1a,#1a4314,#b2d2a4
#e98973,#e7d4c0,#88b2cc,#658ea9
#c4dbe0,#2eb5e0,#00a8a8,#0c6980
#f0e1de,#f7c9b6,#549bad,#83bdc0
